class,concept_favor,concept_against
Tench,Fin;Head,Wheel;Bell
English springer,Ears;Muzzle;Paws;Tail;Body;Head,Chain bar;Wheel;Nozzle;Cab;Headlights;Canopy
Cassette player,Button;Speaker;Digital display,Head;Rose window;Muzzle
Chain saw,Chain bar;Body;Paws,Canopy;Wheel;Bell
Church,Rose window;Facade;Bell Tower,Wheel;Head;Ears
French horn,Bell;Body;Button,Headlights;Chain bar
Garbage truck,Cab;Wheel;Headlights,Canopy;Paws;Tail
Gas pump,Hose;Tank;Nozzle,Speaker;Chain bar;Bell
Golf ball,Golf ball dimples;Logo;Body,Chain bar;Tail;Cab
Parachute,Canopy;Body;Head,Button;Rose window;Facade